Created On	Questioner Id	Quotes Id	Updated On	Pqid	Pqid Type
Jan	96aa97cd-2b5b-4961-9aed-6c04443bd07a	28c64ae1-e5fa-466a-bcfd-3d1a4bd60fb7	Jan  2 2018  9:26PM		New
Jan	b7edac98-0069-449e-be40-ecdf4e49a666	b61069f3-519a-499f-a9a7-625bb0b00df6	Jan  2 2018 10:24PM		New
Jan	3356d281-ff44-4679-851c-b67186fb175c	ddc04a20-7624-4e3c-bd4f-82c818114cee	Jan  2 2018 10:02PM		New
Jan	ea3251d0-b845-40e4-b706-449f99069600	08dddeda-82e1-4080-a3d5-09952ed4ab34	Jan  2 2018 10:06PM		New
Jan	80ff58b0-8a9b-49b2-b82b-0a124cb06b0e	fad20642-58a4-416d-a97d-612b473f7a7a	Jan  2 2018 10:29PM		New
Jan	0818bc01-5ef1-4881-97d2-7997ea131430	ffc7fa14-1f38-4d47-b6f2-5fd92a83ba1a	Jan  2 2018 10:52PM		New
Jan	72ef8491-88d6-4ea3-891a-aad15a62a7c4	65bcb22f-808a-4e3b-999a-6167219fb527	Jan  3 2018 12:24AM		New
Jan	c6124ffd-22bc-466f-b2e8-4a4ba105f7bf	5a1e68f2-931c-45a9-951f-04548439068c	Jan  3 2018 12:24AM		New
Jan	a068a8ca-db7d-4e0f-a45f-637ebdeaa9d7	44a30a87-f491-441b-a8c7-8c12999e7c61	Jan  3 2018 12:54AM		New
Jan	257a0175-efd5-4867-8f3e-1a3db7ccd825	b8df14de-1434-4224-92b6-b8d1dbc6af0c	Jan  3 2018  9:27PM		New
Jan	9d6e9693-d006-4a17-b60c-9e93cab8cb2b	183b0ac3-a75e-4713-85fc-50494abba997	Jan  3 2018  1:18AM		New
Jan	ef269859-7523-4558-8e63-c9bfce012765	6890b960-8c96-4365-94f5-96a8419fcc8b	Jan  3 2018  1:54AM		New
Jan	fb374960-3190-4628-acc8-cb670d976cad	b347328b-ea90-407e-b7bf-7b2760ed9c6a	Jan  3 2018  2:24AM		New
Jan	2c704a80-f303-41f0-84b8-fce978b1629d	155cb486-0016-4180-9bbc-c6550c674f5b	Jan  3 2018  2:54AM		New
Jan	aa502e05-0c80-4817-9fe5-a6a8abb7eca2	7ae4f083-69df-495d-950a-f394a1cd455c	Jan  3 2018  3:24AM		New
Jan	9fcdb1fc-7912-4a1a-93cc-75d5ed732fc8	a3ca2898-007d-4913-848d-c60a126c1602	Jan  3 2018  2:56AM		New
Jan	2910b59f-cd4a-4b83-b709-ec355270545a	8a3f56da-98bc-4c99-8e82-ae5e70a293cb	Jan  3 2018  3:24AM		New
Jan	de5c18e4-8aa9-44eb-aed9-d4bb1e629725	244aaa54-d1a8-4f54-81b3-b16460e70d5b	Jan  3 2018  4:19AM		New
Jan	514dd481-bb7e-4d34-87db-7b03d1da1ae7	6564e880-e875-49cb-822d-71505df346c6	Jan  3 2018  7:54AM		New
Jan	514dd481-bb7e-4d34-87db-7b03d1da1ae7	55e24cf3-e3d9-4afa-9579-afb0bc5ff14c	Jan  3 2018  7:11AM		New
Jan	b6938783-9e75-463e-baa4-caea5439b6e0	fb9fad17-2d1e-490e-9799-7cd484787804	Jan  3 2018 10:24AM		New
Jan	92f99d34-8231-4837-918b-24998137b37c	502e1d65-72a1-4b5e-97ea-a1adfc41109b	Jan  3 2018 10:23AM		New
Jan	dd5449ac-25d9-4054-8307-94dc1eaa553b	643c2257-fa74-4465-b62f-faf997b03166	Jan  3 2018  7:48PM		New
Jan	f5a2dcd9-9a73-4ebf-9e4b-dd179ac11c66	deac6894-ecdb-4702-abce-efa312a4968b	Jan  3 2018  1:24PM		New
Jan	72c8285e-9e31-42b7-b20b-37e32bf0ff9a	e47cafe7-0691-4df0-89de-7f7ea4ace799	Jan  3 2018 12:56PM		New
